i;date;currency;open;high;low;close;volume
68;2023-11-16 18:45:00;AAPL;189.9100;190.0500;189.8900;190.0450;11807
69;2023-11-16 18:30:00;AAPL;189.8100;189.9200;189.7200;189.9050;5828
70;2023-11-16 18:15:00;AAPL;189.8700;189.9400;189.7200;189.8650;6886
71;2023-11-16 18:00:00;AAPL;189.9900;190.0300;189.8200;189.8600;12820
72;2023-11-16 17:45:00;AAPL;190.1000;190.1150;189.9500;189.9900;9328
73;2023-11-16 17:30:00;AAPL;190.1250;190.1500;190.0000;190.1100;10919
74;2023-11-16 17:15:00;AAPL;190.1000;190.1700;189.4900;190.1500;30900
75;2023-11-16 17:00:00;AAPL;190.1000;190.1600;183.0000;190.1100;26737
76;2023-11-16 16:45:00;AAPL;190.0400;190.1700;189.7100;190.0900;34760
77;2023-11-16 16:30:00;AAPL;190.0250;190.1000;189.7100;190.0400;202089
78;2023-11-16 16:15:00;AAPL;189.8500;190.1650;184.6150;190.0400;77550
79;2023-11-16 16:00:00;AAPL;189.7600;189.8900;184.6100;189.8600;10604632
80;2023-11-16 15:45:00;AAPL;189.7600;189.8700;189.5200;189.7700;4207761
81;2023-11-16 15:30:00;AAPL;189.4250;189.9020;189.3400;189.7600;1622335
82;2023-11-16 15:15:00;AAPL;189.3900;189.6000;189.3300;189.4250;1203230
83;2023-11-16 15:00:00;AAPL;189.5700;189.6300;189.3900;189.3960;924813
84;2023-11-16 14:45:00;AAPL;189.4200;189.7350;189.3200;189.5750;1476514
85;2023-11-16 14:30:00;AAPL;189.3500;189.4300;189.2200;189.4200;831716
86;2023-11-16 14:15:00;AAPL;189.4850;189.5300;189.2600;189.3550;703928
87;2023-11-16 14:00:00;AAPL;189.2850;189.5700;189.2150;189.4900;874484
88;2023-11-16 13:45:00;AAPL;189.2750;189.3700;188.9800;189.2800;844756
89;2023-11-16 13:30:00;AAPL;189.3250;189.4500;189.0400;189.2750;1028421
90;2023-11-16 13:15:00;AAPL;189.5400;189.6100;188.6500;189.3300;1138740
91;2023-11-16 13:00:00;AAPL;189.7600;189.7800;189.4000;189.5400;864297
92;2023-11-16 12:45:00;AAPL;189.9010;189.9500;189.6550;189.7550;726440
93;2023-11-16 12:30:00;AAPL;189.6400;189.9800;189.5830;189.9050;1114169
94;2023-11-16 12:15:00;AAPL;189.4540;189.6600;189.3200;189.6450;905827
95;2023-11-16 12:00:00;AAPL;189.2900;189.5850;189.1900;189.4550;1411724
96;2023-11-16 11:45:00;AAPL;188.9900;189.4050;188.9800;189.2900;1104568
97;2023-11-16 11:30:00;AAPL;189.0100;189.1700;188.7200;188.9900;1399779
98;2023-11-16 11:15:00;AAPL;189.3700;189.4450;188.8100;189.0100;1650416
99;2023-11-16 11:00:00;AAPL;189.4600;189.5700;189.0950;189.3650;1475732
100;2023-11-16 10:45:00;AAPL;189.5300;189.8350;189.0100;189.4550;1637866
101;2023-11-16 10:30:00;AAPL;190.1000;190.2100;189.3000;189.5200;2129416
102;2023-11-16 10:15:00;AAPL;190.2310;190.2700;189.6400;190.0850;2481906
103;2023-11-16 10:00:00;AAPL;190.6850;190.8500;190.1800;190.2400;2180870
104;2023-11-16 09:45:00;AAPL;190.6350;190.9600;189.5800;190.6900;3905273
105;2023-11-16 09:30:00;AAPL;189.5700;190.7400;189.5200;190.6400;9400950
106;2023-11-16 09:15:00;AAPL;189.1300;189.7400;188.9100;189.5300;171526
107;2023-11-16 09:00:00;AAPL;189.1400;189.2300;187.8450;189.1300;77104
108;2023-11-16 08:45:00;AAPL;188.9000;189.1900;188.8100;189.1900;74817
109;2023-11-16 08:30:00;AAPL;188.3200;188.9000;188.2500;188.9000;119660
110;2023-11-16 08:15:00;AAPL;188.1000;188.4400;188.1000;188.3900;54048
111;2023-11-16 08:00:00;AAPL;188.1500;188.6240;187.6900;188.1500;79005
112;2023-11-16 07:45:00;AAPL;188.1200;188.2900;188.1000;188.1800;15221
113;2023-11-16 07:30:00;AAPL;187.7700;188.2500;187.7000;188.1000;26858
114;2023-11-16 07:15:00;AAPL;188.0300;188.2300;187.7400;187.7900;29393
115;2023-11-16 07:00:00;AAPL;188.1500;188.3400;187.8200;188.0100;25964
116;2023-11-16 06:45:00;AAPL;187.9900;188.2300;187.9900;188.1000;3283
117;2023-11-16 06:30:00;AAPL;188.1900;188.2400;187.8800;187.9900;15538
118;2023-11-16 06:15:00;AAPL;188.1400;188.2700;188.0700;188.1900;9480
119;2023-11-16 06:00:00;AAPL;188.3300;188.3300;188.1100;188.1400;4023
120;2023-11-16 05:45:00;AAPL;188.3900;188.4100;188.2400;188.3200;4349
121;2023-11-16 05:30:00;AAPL;188.3600;188.4000;188.3500;188.4000;2062
122;2023-11-16 05:15:00;AAPL;188.3100;188.3700;188.2300;188.3600;3065
